smiles,Carcinogens_Lagunin
CC(CCl)OC(C)CCl,1
COc1ccc(C(=O)/C(Br)=C\C(=O)O)cc1,1
O=S(=O)(O)c1cc(S(=O)(=O)O)c2c(/N=N/c3ccccc3)c(O)ccc2c1,1
O=S(=O)(O)c1ccc(/N=N/c2cc(S(=O)(=O)O)c3ccccc3c2O)c2ccccc12,1
ClCc1ccccn1,1
NCCNc1cccc2ccccc12,1
O=S(=O)(O)c1ccc(/N=N/c2c(O)ccc3cc(S(=O)(=O)O)ccc23)cc1,1
CC1(C)SC2C(NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,1
N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1,1
O=C/C=C\O,1
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,1
C=CCNN,1
CCC1NC(=O)C2C(Cl)C(Cl)CN2C(=O)C(C(C)O)NC(=O)CC(c2ccccc2)NC(=O)C(CO)NC1=O,1
CCCCNNCCCC,1
CCCCNN,1
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccc(N(C)C)cc2)cc1,1
Cc1cc(C)c(/N=N/c2cc(S(=O)(=O)O)c3ccccc3c2O)c(S(=O)(=O)O)c1,1
O=S(=O)(O)c1ccc2c(/N=N/c3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1,1
Cc1cc(C)c(/N=N/c2c(O)c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)ccc23)cc1C,1
Cc1ccc(/N=N/c2c(O)c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)ccc23)c(C)c1,1
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1,1
CCNN,1
C=C/C1=C/C(C)(C)[C@](C)(OC(C)=O)C(=O)OC/C2=C/CN(C)CC[C@@H](OC1=O)C2=O,1
Cn1cc(C(=O)O)c(=O)c2ccc(/C=C/c3ccc([N+](=O)[O-])o3)nc21,1
CCCCCNN,1
CCCNN,1
CCC1(c2ccccc2)C(=O)N=C(O)NC1=O,1
Nc1nc2c(ncn2[C@H]2CC(O)[C@@H](CO)O2)c(=S)[nH]1,1
CC/N=c1\cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C,1
Nc1c(F)c(N)c(F)c(F)c1F,1
Cc1cc(C)cc(S(=O)(=O)O)c1,1
CN(C)c1ccc(/N=N/S(=O)(=O)O)cc1,1
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,1
O=C1/C(=C2\Nc3ccc(S(=O)(=O)O)cc3C2=O)Nc2ccc(S(=O)(=O)O)cc21,1
CC(O)CNC(=O)N(N=O)C(C)Cl,1
C=CCNNCC=C,1
CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,1
CN(C)CCN(CCN=O)C(N)=O,1
CCCCCCCCCCCCNC(=N)N,1
C#C[C@@]1(O)CC[C@]2(C)[C@]1(C)CC[C@]1(C)c3ccc(O)cc3CC[C@]12C,1
CCN(CC)CCCNC(=O)Cn1ncc(-c2ccccc2)c1-c1ccccc1,1
CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1,1
O=NCNc1ncnc2[nH]cnc12,1
Cc1ccc(S(=O)(=O)OCC(N)CN=O)cc1,1
CC(O)CN(C)c1ccc(NN)nn1,1
Cc1ccccc1OCC(O)CNCCn1cc(C)c(=O)[nH]c1=O,1
O=S(=O)(O)c1cc(S(=O)(=O)O)c2c(/N=N\c3ccc(S(=O)(=O)O)c4ccccc34)c(O)ccc2c1,1
O=S(=O)(O)c1c(/N=N/c2c(O)ccc3ccccc23)ccc2ccccc12,1
CC(=O)C(/N=N\c1ccc(Cl)cc1Cl)C(=O)Nc1ccc(-c2ccc(NC(=O)C(/N=N/c3ccc(Cl)cc3Cl)C(C)=O)c(C)c2)cc1C,1
O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1/N=N/c1ccc(S(=O)(=O)O)cc1,1
CN1C2CCC1CC(NC(=O)c1cc(Cl)cc3c1OC(C)(C)C3)C2,1
CC(=O)Nc1cc2ccccc2oc1=O,0
COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,0
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,0
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,0
Cc1c(N)c(=O)n(-c2ccccc2)n1C,0
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,0
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,0
CCC(=O)OC1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
CCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2OP(=O)(O)OC[C@H]2[C@H]1OC(=O)CCC,0
CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,0
CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,0
CNCC(O)C(O)C(O)C(O)CO,0
Nc1nc2[nH]nnc2c(=O)[nH]1,0
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)C3C[C@@H]12,0
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12,0
C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0
CNC(C)(C)Cc1ccccc1,0
CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,0
CC1(O)CCOC(=O)C1,0
O=C1OC2(c3cc(Br)c(O)cc3Oc3c2cc(Br)c(O)c3[Hg]O)c2ccccc21,0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,0
C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,0
COc1ccc(C(=O)OC2C[C@H]3CC[C@H](C2)N3C)cc1OC,0
OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,0
O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,0
