smiles,value,scaffold_train_test_label,random_train_test_label
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,0.015333333,train,train
Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](N)CC(C)C)c(C)c34)ccc2[nH]1,24,train,train
O=C(Nc1nccs1)N1CCC(Cc2c[nH]cn2)CC1,2,train,test
O=C(CCOc1ccc(C(=O)N2CCNCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,30,test,train
O=C(CCc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,3,train,test
O=C(CCOc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,1,train,train
c1cnc(-c2ccc(OCCCN3CCC(Cc4c[nH]cn4)CC3)cc2)nc1,6,test,train
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNS(C)(=O)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,15.1,train,test
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,30,train,train
NCc1noc(-c2nn(Cc3ccc(C(N)=O)cc3)c3ccccc23)n1,1.3,train,train
CCC[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,0.5,train,train
C[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-c2ncco2)cc(-c2ncco2)c1,0.5,train,train
CC(=O)c1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)=O)c1,1.3,test,train
Cc1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(-c2nnnn2C)c1,0.2,train,test
C[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,0.4,train,train
c1ccc(-c2ccccc2CN(C2CCOCC2)[C@H]2CCNC2)cc1,0.1,train,train
C[C@@H](N[C@@H]1CCCc2c1[nH]c1ccc(Br)cc21)c1ccccc1,0.16,test,train
Cc1n[nH]c2cc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccc12,4.8,train,train
O=C(N[C@@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccc2cc(F)ccc2c1)c1ccccc1OC1CCCCC1,0.58,train,test
CC(C)CC1(C(=O)c2cc(F)c3[nH]ccc3c2)CCNC1,1.3,test,train
COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1cnccn1,12,train,train
COc1ccc(C[C@H](C)CN2C[C@@H]3CCCC[C@@H]3[C@H](C(=O)N3CCN(c4ccc(F)c(F)c4)CC3)C2)cn1,6.5,train,train
CCCCC1(c2ccc3[nH]ccc3c2)CCNC1,3.4,train,test
CN(C)C(=O)c1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1,2.9,train,train
c1ccc(CC2(c3c[nH]c4ccccc34)CCNC2)cc1,1.8,train,train
Cc1ccc2c(c1)CC(CCN(C)C)=C2Cc1cnccn1,6.6,train,train
CN(C)CCC1=C(Cc2cccnn2)c2ccc(Cl)cc2C1,12,train,test
Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,5.4,train,train
CN(CC1CCOCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,11.0085,train,train
CC(C)(C)c1cc(/C=C2\CC/C(=C\c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)C2=O)cc(C(C)(C)C)c1O,100,train,train
