smiles,value,scaffold_train_test_label
Cc1cc(SCc2cc(=O)[nH][nH]2)c(C)cc1Cl,2.383815366,train
O=C1CCN(Cc2ccc3c(c2)OCO3)C1,5.763427994,train
Cc1cccc(C)c1/C(=N/O)NC1CCCCC1,1.880813592,test
O/N=C(\NC1CCCC1)c1ccccc1-c1ccccc1,2.385606274,test
O=C([C@@H]1COC(c2nc3cc(C(F)(F)F)cc([N+](=O)[O-])c3s2)=N1)N1CCCC1,1.88422877,train
Cc1cnc(-c2ccc([C@@H]3[C@@H](c4ccccc4)[C@@]3(C)C(=O)NO)cc2)nc1,2.44870632,train
O=C(NO)[C@]1(F)[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(F)cn2)cc1,2.485721426,train
COCCc1sc(S(=O)(=O)NC(=O)Nc2cc(C(F)(F)F)cc(C)n2)cc1C,1.491361694,test
CC1CCC(NC(=O)c2cc3cc(Cl)c(Cl)cc3[nH]2)CC1,1.865103975,train
Cn1ccnc1-c1ccc([C@H]2[C@H](C(=O)NO)[C@@H]2c2ccccc2)cc1,2.579783597,train
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(O)c1,1.880813592,test
c1cc(Nc2nccc(-c3cnc(NC4CCOCC4)nc3CC3CC3)n2)ccn1,1.818225894,test
c1ccc(CNc2ncc(-c3ccnc(Nc4ccncc4)n3)c(CC3CC3)n2)cc1,1.873901598,test
CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1,1.800717078,train
CCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,1.079181246,test
C[C@H](NC(=O)c1ncccn1)c1ccc(NC(=O)[C@H]2C[C@@H]2c2cccnc2)cc1,1.584331224,train
Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,1.113943352,train
Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,2.222716471,train
Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,1.72427587,train
COc1cc(-c2nnc3n2CCCC3(Cc2ccc(F)c(F)c2)C(=O)O)ccc1-c1cnc(C)o1,2.170261715,train
CP(C)(=O)c1ccc2c(c1)[C@@H](O)[C@H]([C@H]1c3ccccc3-c3cncn31)CC2,1.591064607,train
Cn1cc2c3c(c[nH]c3c1=O)CN(C1CCC(F)(F)CC1)c1ccc(CS(C)(=O)=O)cc1-2,2.425974161,train
CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,1.86923172,train
